ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,a3ea9cc1-d2d8-4546-abfa-95e1c54eabb3,Riffle,1,1,0.38,,,,,,100,30,70,,,19.3,109,27.3,54.5,13.65,9.65,13.65,0.06,9.65,38.5,54.5,0.33,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
2,ed21d430-6e4a-4296-8b90-b2db43e92f68,OCA,2,1,0.18,,,,,,100,100,,,,,,,,,,,,,,,0.18,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
3,40a6281a-e16d-4f7c-aee2-c4d1c0c64d8c,Run,3,1,0.32,,,30,,,70,30,70,,,,,,,,,,,,,,0.43,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
4,fbf9c193-57a0-4b0f-9bfa-5390f70eb3e0,Riffle,4,1,0.18,,,20,,,80,,,,,9.65,9.65,77,6.85,0.06,19.3,19.3,38.5,19.3,13.65,19.3,0.29,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
5,ac1648d0-daa2-4132-ba13-f03e8ecfa856,Pool,5,1,0.26,,,20,,,80,30,70,,,,,,,,,,,,,,0.59,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
6,a5f9d38e-f571-4906-8e4c-fb8383a97c64,Riffle,6,1,0.31,,,30,,,70,,,,,19.3,54.5,109,54.5,54.5,19.3,6.85,0.06,13.65,13.65,0.06,0.43,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
7,5be2ce4c-cc8d-402a-b4d5-526730d30e26,Pool,7,1,0.22,,,10,,,90,,,,,,,,,,,,,,,,0.59,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
8,9ac021f6-1325-4c3d-87bc-550339648af4,Riffle,8,1,0.3,,,20,,,80,,,,,38.5,77,19.3,27.3,13.65,27.3,19.3,19.3,9.65,27.3,4.85,0.38,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
9,15a83070-17bf-4bb8-b3fe-ea3c24fcd349,Pool,9,1,0.25,,,30,,,70,30,70,,,,,,,,,,,,,,0.5,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
10,627a8f70-670a-4af2-b3b7-a70e004331e7,Riffle,10,1,0.26,,,30,,,70,,,,,9.65,54.5,77,77,4.85,27.3,13.65,9.65,27.3,13.65,9.65,0.36,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
