ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,f2d86a85-a0d0-4b17-b06a-bb7662cdb19c,0,0.18,0.417,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
2,0f49c86c-fd77-40ba-b140-af9614b2f987,0.3,0.22,0.618,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
3,5c9862eb-f2e8-43b7-ae8b-566fd2a73277,0.6,0.24,0.764,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
4,1862da78-c991-4961-8b17-00c54b5a8c96,0.9,0.28,0.721,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
5,efb8f452-975d-4cff-adb7-3bc8c55ed194,1.2,0.24,0.914,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
6,f8d2c2e1-fb67-434f-822c-62948ae9509f,1.5,0.26,0.631,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
7,f96cb00c-540a-47e9-b225-4b63461ddeff,1.8,0.18,0.8,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
8,8547d682-3ca2-4729-9d4e-d04eb6d25495,2.1,0.2,0.587,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
9,b6607c8d-19d3-4067-bb19-45badbea40f0,2.4,0.22,0.801,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
10,0b588dfb-6553-4a03-a1d8-e5a68e3738d9,2.7,0.17,0.797,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
11,28166a93-ed5b-4fca-826f-dd29dea80837,3,0.18,0.551,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
12,39e0490e-46fd-4728-8dcc-2a959d540ae8,3.3,0.18,0.584,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
13,1a41f47a-94d5-4698-a1dc-f6df25735b7b,3.6,0.14,0.553,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
14,cffb9c72-b5ac-47dd-bff5-50a25b5206f8,3.9,0.11,0.513,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
15,62262f4f-7f9f-4409-b5e0-d58638fcb52f,4.2,0.1,0.5,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
16,2331c46f-872b-4ad5-a50a-cb09fdb8397a,4.5,0.12,0.18,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
17,08a5faca-1037-4fc0-af35-ed5d5a0aaaa7,4.8,0.16,0.218,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
18,a7a9e2b5-a804-4975-909f-26a111c3adca,5.1,0.14,0.338,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
19,697171f9-878e-4de6-97b1-b5dacd7df099,5.4,0.12,0.33,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
20,8037aca5-5298-4e1b-8bdd-b32cb006264c,5.7,0.12,0.288,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
21,e6056ac7-673f-4c76-96f9-c3e3292b0d81,6,0.1,0.199,8ae03bf2-1d25-4cc7-bca8-7f6f3b0a5e01,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
22,ba4af4ac-2502-4312-a022-d56154740c40,0,0.12,0.035,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
23,a6ff5bef-e3cc-429f-acdb-f6c897143d51,0.2,0.14,0.35,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
24,0253cf72-d417-4713-a9cb-c2c1214dae4d,0.4,0.14,0.35,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
25,f53a313a-c842-4e95-92c3-e4a2a8f2b49e,0.6,0.18,0.596,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
26,df96a373-82c2-4598-8ea1-0d0543ede09e,0.8,0.2,0.887,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
27,230424d4-cc6a-45c5-91cf-eea236b8ad75,1,0.23,0.995,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
28,a3940925-12e9-4218-9f3c-87304299c739,1.2,0.25,1.103,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
29,c27f6cc9-6807-47de-be85-729deca5cdbc,1.4,0.25,1.093,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
30,e29bd60a-897a-4596-aab7-4626b15f7208,1.6,0.28,0.783,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
31,aa4c9927-b52e-43b6-8f2d-763179a68211,1.8,0.28,1.164,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
32,da3cea0d-c877-4d93-b43e-2444b024f3f1,2,0.32,0.991,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
33,492f0197-5af6-4b68-a1e9-36502fdbac61,2.2,0.36,0.673,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
34,adc2b2c7-9eeb-4b5e-a600-cf36a348a13a,2.4,0.28,0.794,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
35,df8f85aa-b32f-4158-96ec-69668185bd45,2.6,0.22,0.852,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
36,b2a5e709-7a8b-4758-b764-0de901535b45,2.8,0.19,0.636,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
37,c9934d3f-5bfe-430c-8fb8-25aa2028a5bd,3,0.14,0.451,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
38,befcbe22-0246-4286-97ac-7aea28cf8722,3.2,0.12,0.263,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
39,6ec7d8f2-020a-4d94-942d-ae0bbdfefaa3,3.4,0.12,0.196,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
40,8819e11b-9697-4b5e-9b90-d20e1fa7759d,3.6,0.1,0.114,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
41,b7eb386a-1d0f-4b30-a7ff-ee7a7bea4d2c,3.75,0.1,0.012,215121e0-8f22-470d-ac01-24fe2cd31083,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
42,770c1d56-2d7f-43e7-adf9-70363b9b25e7,0,0.08,0.029,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
43,9a10edd0-2d8f-4159-a275-ba36eb6481c3,0.3,0.13,0.634,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
44,9f07e421-b4ac-4c3a-8579-4175fa4c8319,0.6,0.09,0.575,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
45,5ec6719a-e237-4798-96a7-45744197fe64,0.9,0.12,0.603,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
46,51de05be-8781-4788-83a3-f483f6bf16c2,1.2,0.13,0.482,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
47,221c0166-cc39-40d2-b610-2935b9072525,1.5,0.13,0.787,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
48,55817384-de5f-4e2d-ab62-750587f00f05,1.8,0.12,0.653,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
49,0ee24965-c003-4f75-900b-4ef8a5411702,2.1,0.13,0.65,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
50,1a579e0c-fdbf-46bf-9653-12393c026e31,2.4,0.12,0.682,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
51,fa209016-a30c-4b48-b4da-364ee9e8a9ee,2.7,0.14,0.592,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
52,0395b1ab-a4ac-4bad-8125-64689f78c9f7,3,0.18,0.63,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
53,0ce5c1b0-3773-4663-a077-22b892eb6b69,3.3,0.2,0.553,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
54,38f0593f-e045-4ab2-89a3-2e6065e55f01,3.6,0.2,0.574,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
55,c650175c-237e-45b2-91e3-bfc14f27b702,3.9,0.14,0.391,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
56,46b50d09-2ea1-4a77-845e-be16ae4e5827,4.2,0.14,0.432,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
57,7dc9a9bb-415f-4d14-adff-082d2bfd0db7,4.5,0.18,0.449,05a98bb1-8e93-42ae-92e0-44910ed27466,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
