ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,e5a0a977-e5fe-439c-99af-0b68712e9050,1,Left_Bank,2.77,0.23,0.52,0.34,a3ea9cc1-d2d8-4546-abfa-95e1c54eabb3,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
2,6fc82d6e-9a93-48dd-9d5b-fa7b0faea6cb,1,Left_Bank,1.5,0.41,0.25,0.41,5be2ce4c-cc8d-402a-b4d5-526730d30e26,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
3,945f7735-3c51-466f-9849-adabe4553522,1,Left_Bank,5.3,0.26,0.38,0.56,48fa7089-91be-4c89-9b9a-55f37249a407,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
4,3d6fd9a1-4ee3-4a7f-9854-af1f1d5d27da,1,Right_Bank,5.4,0.42,0.25,0.26,7a2587dc-6264-4b91-b164-6acc488a9799,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
5,f1bdaf77-2b60-4d09-9669-4344129a0add,1,Right_Bank,2,0.32,0.26,0.3,27910835-2848-460f-881c-94137adcf88c,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
6,3bf2a060-824f-4419-8047-ace11cd30fde,1,Left_Bank,3.63,0.98,0.21,0.32,e0f84011-8608-4778-aa42-929eb00e6667,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
7,e792563a-4d84-4572-a5c0-5256cc57fe25,1,Left_Bank,4.2,0.61,0.42,0.26,8fa4ef3d-523d-4264-823c-a6161d974a8c,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
8,18c8ef60-3e96-4d18-a5bd-f44689ce51e3,1,Left_Bank,2.9,0.48,0.36,0.27,d4ebfd74-2d56-4d15-9890-4fe3f705c4f4,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
9,b71ca077-15ea-4373-8dc7-7baa8916f527,1,Right_Bank,5.9,0.34,0.31,0.6,02f377a0-3280-4818-9c33-0d714fd9e25d,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
10,d03723f1-47f3-4cab-be51-39a8c6c09749,1,Right_Bank,6.8,0.34,0.45,0.39,23b0d33d-00ef-4437-b44a-46bb4e8281ed,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
11,c9bb4d86-69e1-4c68-9e26-5b14000b8180,1,Left_Bank,3,0.26,0.2,0.2,dd0a2f45-668d-4393-b6c2-d8e5681cf02f,7/12/2019 9:37:11 PM,richie@qcinc.org,7/12/2019 9:37:11 PM,richie@qcinc.org
