ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,4ff46268-bc9c-4cb8-b5bc-b36662ce8f65,1,1.51,.29,Yes,No,No,41317eb5-c66a-4d1a-8664-e8250a8caf74,6/6/2019 11:13:21 PM,richie@qcinc.org,6/6/2019 11:13:21 PM,richie@qcinc.org
2,55bf75fa-bdcb-40b1-8dca-a48b685ee1fd,2,3.2,.27,No,No,No,41317eb5-c66a-4d1a-8664-e8250a8caf74,6/6/2019 11:13:21 PM,richie@qcinc.org,6/6/2019 11:13:21 PM,richie@qcinc.org
3,2d790f42-c5d3-4d8c-8f65-2ab924fa2d52,3,1.51,.15,Yes,No,Yes,41317eb5-c66a-4d1a-8664-e8250a8caf74,6/6/2019 11:13:21 PM,richie@qcinc.org,6/6/2019 11:13:21 PM,richie@qcinc.org
4,ee5783bc-cecb-49c1-8617-05e8e985586c,1,3,.19,Yes,No,No,85fe59a3-fea0-4c54-96a1-05b9faeb8bcc,6/6/2019 11:13:21 PM,richie@qcinc.org,6/6/2019 11:13:21 PM,richie@qcinc.org
5,20d764fb-daa0-4be3-851b-bac7ad22c337,1,1.7,.22,No,No,Yes,bdd5cab8-49e2-48b1-a08a-a9cd2cd70d8c,6/6/2019 11:13:21 PM,richie@qcinc.org,6/6/2019 11:13:21 PM,richie@qcinc.org
6,f3f6c8ee-fdeb-4168-acb2-aa993317cc6b,2,1.5,.23,Yes,No,Yes,bdd5cab8-49e2-48b1-a08a-a9cd2cd70d8c,6/6/2019 11:13:21 PM,richie@qcinc.org,6/6/2019 11:13:21 PM,richie@qcinc.org
7,9226b67f-f05c-4630-8aeb-519585a1f4a9,3,1.6,.34,Yes,No,Yes,bdd5cab8-49e2-48b1-a08a-a9cd2cd70d8c,6/6/2019 11:13:21 PM,richie@qcinc.org,6/6/2019 11:13:21 PM,richie@qcinc.org
8,34f53286-4893-4254-b2b6-c2413916220a,1,1.6,.23,Yes,No,No,32c549a1-3e45-4bee-a725-8b61ed2bcc3a,6/6/2019 11:13:21 PM,richie@qcinc.org,6/6/2019 11:13:21 PM,richie@qcinc.org
9,09df9398-c84c-4ee6-bbe0-30361a3825bd,1,1,.34,Yes,No,Yes,5648941f-f2a1-4bc5-9852-804bf2cd7e0e,6/6/2019 11:13:21 PM,richie@qcinc.org,6/6/2019 11:13:21 PM,richie@qcinc.org
10,c0c84db1-3294-4fb1-84c6-b7ccab634416,1,1.5,.2,Yes,No,Yes,185cebc6-610b-4673-86c4-a5c685c5416f,6/6/2019 11:13:21 PM,richie@qcinc.org,6/6/2019 11:13:21 PM,richie@qcinc.org
