ObjectID,GlobalID,Tape Distance (m),Station Depth (m),Station Velocity (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,e38850a3-500c-4d9e-98e7-a5652b951f5a,0,0,0,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
2,56945a26-6173-4b77-9383-755f419af12f,0.8,0.13,0.129,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
3,831dec70-0abb-4010-bf83-3b4271d65007,1.6,0.2,0.25,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
4,ab584ad7-1361-46d5-9c78-1406df3c2f8b,2.4,0.24,0.325,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
5,21dfb9fd-68fb-49ed-989b-988bb4ce817d,3.2,0.22,0.308,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
6,bbeadefc-ace1-408b-b819-8850089b8b8b,4,0.2,0.385,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
7,19181aab-1590-40c1-bd5b-b0c1a1ba47f6,4.8,0.26,0.386,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
8,7ebf86be-b7d7-44da-b699-5b7da7b81943,5.6,0.28,0.36,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
9,a16ba6e2-f110-4989-8ded-7a0728cdf66d,6.4,0.35,0.435,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
10,84254a55-46cc-4083-9c31-8cad2af5767f,7.2,0.4,0.535,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
11,3bff37cb-b793-468d-9eea-64b98999088e,8,0.39,0.628,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
12,2706c5fe-65fb-433a-a07b-4be655266890,8.8,0.44,0.596,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
13,f72a8595-54d8-4a2e-b387-5f52c26a55bd,9.6,0.47,0.608,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
14,10eb4882-3add-42f7-af84-d95e7fb52762,10.4,0.58,0.527,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
15,9675d322-4f73-489f-861c-afb069ef7730,11.2,0.6,0.38,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
16,0bbc7cf9-3fae-4648-b0fc-cbf7cab61cb9,12,0.5,0.388,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
17,2bfad043-e843-4586-91e9-40e1ce0f9e41,12.8,0.27,0.197,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
18,0025aaf7-97ca-4f75-9657-80a0e5c6fa5d,13.6,0.28,0.114,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
19,7fd9d4df-c6c7-4752-848a-aa6e1941a4a8,14.8,0,0,180ee5d7-4ad9-48e3-b131-138b023a47ec,7/27/2022 20:43,mackerman,7/27/2022 20:43,mackerman
