ObjectID,GlobalID,Tape Distance (m),Station Depth (m),Station Velocity (m/s),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,6274bbe5-fa83-45ba-ab01-c1a3c16843af,0,0,0,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
2,087bb09c-6185-478f-a07c-9356b6e67733,0.5,0.08,0.288,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
3,8396e53e-c037-44d4-9726-8f722dae7372,1,0.1,0.496,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
4,f598d374-b9ed-4395-88f6-8668b005baf7,1.5,0.14,0.372,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
5,ab8a66d3-1eaf-40ae-8938-c638acba2313,2,0.2,0.284,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
6,a29a59cf-b16e-4bc6-b378-29ddf8a3b812,2.5,0.18,0.474,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
7,ef529ee9-1da8-44e8-b609-33e44c0968a2,3,0.13,0.015,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
8,7ebb936c-dd06-4318-b6c6-404dace98218,3.5,0.2,0.532,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
9,9e160e1a-794a-452e-b8e0-6cce9fb5eaf4,4,0.24,0.41,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
10,e8ac0283-83da-4b60-8405-ea669357a9bc,4.5,0.26,0.581,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
11,bead5eb0-8040-4eb1-a384-069b6fd06379,5,0.24,0,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
12,43b6bdab-bfa1-48d2-98af-e49bdcbdf090,5.5,0.36,0.556,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
13,a14b660c-b210-49fa-95da-bb9f11b6e02f,6,0.44,0.549,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
14,e8523fdd-6b0d-45e1-8f41-3e8ed1c66b7d,6.5,0.44,0.625,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
15,9a44cbbe-8242-42d0-9bbd-5ad8bf29de03,7,0.52,0.757,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
16,7c44f8b1-ff82-4068-b4a7-e9d8ccc45c68,7.5,0.58,0.683,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
17,a2956c28-2a46-42ec-809e-a3a70df46ca1,8,0.54,0.696,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
18,efaa81a4-ca30-4539-b939-994eccd54894,8.5,0.56,1.216,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
19,710a60c9-454f-446a-a88b-b17b84bf4092,9,0.68,0.862,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
20,70440e3c-1a25-4a17-892f-9beff917e4e8,9.5,0.34,0.783,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
21,00f7de7d-d830-4fa1-ac13-06dff6beeb9d,10,0,0,5f9ee89f-5c98-4e6f-8331-ce50834a29fb,7/22/2022 0:26,mhe_mackerman,7/22/2022 0:26,mhe_mackerman
