ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,84570063-1b32-451e-881e-fb50c93a3240,0.2,0.1,0.042,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
2,81875d1e-aec2-480f-8bde-86d06e282f13,0.2,0.23,0.088,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
3,711c959f-6bfb-4553-a530-eea7b32c4549,0.2,0.26,0.367,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
4,74ad4ee8-a2d4-4416-b2ab-e4d23486350a,0.2,0.33,0.625,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
5,7971fe4e-a5a7-4946-b032-449455a984dc,0.2,0.39,0.824,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
6,3c3c4834-f5ee-45fe-9681-f2fa84c1a745,0.2,0.42,0.868,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
7,64415e45-cd5f-4dd0-80d5-adb3310435f7,0.2,0.47,0.875,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
8,e5a05d90-cd78-49de-9b3c-483be0922b68,0.2,0.5,0.8,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
9,12600b59-e03a-4dac-96d8-9d598e586981,0.2,0.55,1.055,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
10,4cf46bb0-9480-4fda-9e73-53fbac5ef707,0.2,0.58,1.019,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
11,a9f52465-614c-4f67-95bf-7aa8845eb9a2,0.2,0.6,1.197,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
12,59d7d828-264e-4607-910a-e5d744d8d9b5,0.2,0.62,1.193,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
13,60cc6ff4-532d-4b1a-a869-867ef4bd5c0e,0.2,0.62,1.272,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
14,e43947af-196a-46c9-98e5-4c57b75e5e13,0.2,0.64,1.195,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
15,7388508a-bb5d-44e1-a747-adb84ebd4386,0.2,0.68,0.955,b0e6ddbb-0630-4c83-9c59-6b7890db96ee,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
16,29050e9d-0e0a-4213-b7c2-05d6d00242ef,0.2,0.52,0.695,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
17,b1ea9626-bbda-40ba-a2cf-3353624fca56,0.5,0.66,0.852,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
18,cc7e8700-a530-404b-95c0-78c4984cdde0,0.5,0.71,0.832,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
19,13496dc6-bce2-4f14-8167-dcdece43ba00,0.5,0.75,0.781,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
20,400a2d11-d440-457a-b875-41de741692d4,0.5,0.77,0.656,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
21,b6eb1396-e6b5-44aa-8916-113461ed1b1d,0.5,0.79,0.749,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
22,b89b0970-8d83-4d58-b906-9b674da3585a,0.5,0.76,0.777,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
23,f550063d-7dac-4143-9147-2cae8cf8145e,0.5,0.79,0.731,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
24,99b8f99c-660c-41f6-8092-4459a22858cf,0.5,0.74,0.669,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
25,3f2b7dfd-9a6f-444a-8001-bf34446441e5,0.5,0.78,0.577,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
26,33e9f8ba-3dba-4173-b4cc-18900d7d5bae,0.5,0.73,0.454,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
27,d9dc43ef-3b4a-426c-aefc-79c7334ddb70,0.5,0.72,0.446,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
28,8eb9b634-a475-470e-a3f6-b2dff7065ae4,0.5,0.7,0.45,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
29,98fede8b-fcc4-491f-a55d-77e7f9199fbd,0.5,0.6,0.313,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
30,5717aecb-823c-4efa-82ab-1425bd6a3b74,0.5,0.47,0.417,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
31,e82235f5-a6c1-4e4a-b5e4-a7495c261ae4,0.5,0.34,0.17,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
32,7d3793e1-7a58-4b37-908f-133f613f4cbd,0.5,0.12,0.037,8a3e5110-07c5-47da-855c-332f6f64a1e3,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
33,417e6db7-5173-4cb2-b65d-8e647c7b1b60,0.5,0.2,0.01,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
34,19889231-765b-43c6-9ea4-16f21062d980,0.5,0.29,0.518,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
35,df966c74-94b2-4bb5-9be2-bfc32d415f01,0.5,0.32,0.598,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
36,1c89ea4f-4e6e-418f-a018-b76a41513824,0.5,0.4,0.674,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
37,f806b084-19a7-49dd-8ac3-3a814bbc7a42,0.5,0.44,0.75,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
38,fdce32f2-0e78-4828-9ab2-6a9bc8600825,0.5,0.48,0.805,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
39,9f3c5349-bbfd-48aa-9584-e4d64d262bc5,0.5,0.52,0.788,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
40,53b024e6-efd8-45ed-8566-60d3196e46c2,0.5,0.58,0.773,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
41,4a4c14b7-a560-4e3d-b464-ead71a63f106,0.5,0.65,0.394,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
42,88350788-d227-47ae-9b6c-5bef3ee897e1,0.5,0.65,0.53,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
43,798bafb7-a62c-43f2-91b3-11cf078b7bba,0.5,0.69,0.942,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
44,0719f3be-917c-4573-999c-d5843e9da6e6,0.5,0.62,1.234,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
45,f3281acc-df61-4dea-b4f7-44a2f4a03330,0.5,0.58,0.694,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
46,9685f250-cccd-4ce4-a9f4-ef651fbdcfab,0.5,0.57,0.691,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
47,6806266e-5bcb-4bf1-82bf-5cba053f634c,0.5,0.6,0.921,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
48,22486694-9080-4e4c-a845-8cf0e63266b8,0.5,0.6,0.913,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
49,184999a6-3e10-44e6-a0af-95f7c7470318,0.5,0.6,1.032,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
50,7501f386-94a7-4b7a-8338-470fbe50a3b2,0.5,0.58,0.768,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
51,b7a8978e-15e7-4943-800e-cfc7da67318f,0.5,0.56,0.411,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
52,fece49f1-d871-47a0-a742-25342803bca4,0.5,0.58,0.334,19c4d1cd-dea2-4d98-8725-b3672c7adc5d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
