ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,87f54a9e-2363-4f26-835a-d4f89409606d,1,Right_Bank,8,0.35,0.58,0.76,8c3f58d7-64ff-4fe8-94c3-cd01a5b81f4d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
2,a441ed96-4743-463f-9d45-f72bdc11fe05,2,Right_Bank,2,0.25,0.31,0.33,8c3f58d7-64ff-4fe8-94c3-cd01a5b81f4d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
3,65354354-21cb-4b53-acc2-bbcfa56c6319,1,Left_Bank,2.5,0.34,0.4,0.29,5d1cdda4-a4c2-416c-bb83-bedcddc05edd,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
4,0fe539d7-b28d-47d0-af29-44633487e6f4,2,Left_Bank,4,0.4,0.3,0.32,5d1cdda4-a4c2-416c-bb83-bedcddc05edd,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
5,efa8a394-1b36-4b14-9b8d-d65a19782d61,1,Right_Bank,4.5,0.3,0.25,0.3,ed5aa6fa-dcce-42ed-9acc-8a197a75d519,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
6,bbb74862-0331-46b5-9e04-9813a558b8de,1,Left_Bank,2,0.6,0.4,0.2,87c596f7-5b66-4f6a-85da-7eb77a64c974,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
7,5b29c7a0-9b94-4aa7-9803-578260ec2aa4,1,Left_Bank,5,0.6,0.5,0.6,377ad25f-7643-4b99-8efa-6467a6727b50,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
8,a6336b4d-495d-46e2-adec-25b69b6a9990,2,Left_Bank,8,0.4,0.6,0.4,377ad25f-7643-4b99-8efa-6467a6727b50,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
9,db001fa7-e212-457f-90c6-191bd94c0706,3,Left_Bank,9,0.5,0.3,0.45,377ad25f-7643-4b99-8efa-6467a6727b50,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
10,c3f10a11-b47e-40ff-9a31-16be78e4b2e6,4,Left_Bank,4,0.55,0.53,0.48,377ad25f-7643-4b99-8efa-6467a6727b50,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
11,8ca0e39b-bddc-467b-93a3-546140ac54a4,1,Left_Bank,3,0.34,0.41,0.25,4b93262f-55a8-45e5-9550-f76a27bb7ae0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
12,0efc55b7-9d6d-4755-b2db-03044aba01f6,1,Right_Bank,3,0.4,0.6,0.4,fea15de6-73e2-4312-8115-8b1ac39161df,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
13,9c00a9ea-aa44-4cf6-bb62-02cec90ba95e,2,Right_Bank,4,0.4,0.34,0.32,fea15de6-73e2-4312-8115-8b1ac39161df,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
14,5fe988d3-c525-4ffd-b564-12708d29d39d,3,Right_Bank,2,0.34,0.32,0.41,fea15de6-73e2-4312-8115-8b1ac39161df,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
15,519e520f-c9f4-48d0-8d06-20f0656eb057,1,Right_Bank,6.7,0.4,0.6,0.45,e1eb3101-d314-4d30-8832-b5230268ae22,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
16,e5064a4e-d71c-4791-a2c4-e720084bf91e,2,Right_Bank,7,0.3,0.56,0.32,e1eb3101-d314-4d30-8832-b5230268ae22,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
17,e3abfae3-be42-4358-b84c-8f6630ef9423,1,Left_Bank,4,0.22,0.25,0.54,f0edcd49-3a40-44e7-a521-abaf946a705d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
18,50c0ded9-1544-4b9f-834f-4d50f97e4a85,1,Right_Bank,5,0.25,0.42,0.61,0b8f59b2-1533-454e-9a01-3f05f18d0e96,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
19,80dd6267-21ca-457a-94e1-a6ed864e2bf7,2,Left_Bank,7,0.34,0.33,0.5,0b8f59b2-1533-454e-9a01-3f05f18d0e96,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
20,0e8ab759-eb8b-4bf9-b3ba-c5986895187a,1,Right_Bank,7,0.5,0.22,0.25,3a0d43b6-2f7e-443f-89a5-07849e77e8df,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
21,f38f7440-0eab-49d8-a0ef-1b90381dd86e,1,Island,3.4,0.61,0.54,0.35,a7ed51bb-10e0-40be-a699-ae9d15217737,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
22,66bc8c8d-2a7e-4efa-b48c-a27783a22841,2,Right_Bank,2,0.33,0.23,0.4,a7ed51bb-10e0-40be-a699-ae9d15217737,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
23,303ccd80-d19b-4397-8abf-475072d7e24d,1,Left_Bank,10,0.3,0.6,0.3,7ca29634-c045-46aa-964f-bb524b6cc7f5,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
24,ef0dce0f-d075-4378-b2aa-ae9673c42743,2,Right_Bank,3,0.3,0.34,0.28,7ca29634-c045-46aa-964f-bb524b6cc7f5,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
25,3af158f2-30f6-4f71-b4bf-eb0a23c9ecbc,3,Right_Bank,2,0.28,0.22,0.2,7ca29634-c045-46aa-964f-bb524b6cc7f5,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
26,662ffc16-af32-4e15-bc4f-a57f28cfc425,1,Right_Bank,7,0.24,0.35,0.28,753b004f-e693-4d28-8dff-182966a0476c,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
27,66278f80-21fa-405c-a064-22baa57928a4,1,Right_Bank,3.5,0.3,0.5,0.42,2c4ab014-5440-49d1-aa56-bb4edf39d611,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
28,6306db6c-0bce-4bd4-8eda-2237ddccd3b0,1,Left_Bank,6,0.38,0.31,0.25,05adbc08-78ee-40b8-891a-a90eac729462,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
29,b899cba2-4ce6-490e-aa00-7c2574bb07e0,2,Right_Bank,2,0.3,0.25,0.3,05adbc08-78ee-40b8-891a-a90eac729462,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
30,2d5f593a-8a69-486d-9606-2652fe669268,1,Right_Bank,3.8,0.8,0.9,0.6,b2c28f8c-4a1f-4278-a6c0-7f42c9466f45,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
31,3f8d3214-ddbd-40fd-9be8-b5dbcf63d52c,2,Right_Bank,2,0.3,0.34,0.27,b2c28f8c-4a1f-4278-a6c0-7f42c9466f45,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
32,a740addb-4b4b-48ac-b4c3-432cf659491e,1,Right_Bank,3,0.25,0.22,0.36,eb6c1f2c-0170-43e0-93ec-c91526f2732f,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
33,3e109b72-dbaa-4605-bb13-f89a7b9a8269,1,Left_Bank,6,0.24,0.3,0.34,cfd1f7c0-5556-4d97-82cb-13ffb7d64446,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
34,0dc10282-1154-4119-b5ae-2ac1b51c378f,2,Left_Bank,2.5,0.3,0.25,0.28,cfd1f7c0-5556-4d97-82cb-13ffb7d64446,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
35,e59fa7c4-3e80-4d4e-893f-0e987d1dd601,3,Left_Bank,3,0.4,0.28,0.43,cfd1f7c0-5556-4d97-82cb-13ffb7d64446,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
36,4cfe11dd-8d63-406a-b50a-52b371e9f720,1,Left_Bank,8,0.24,0.38,0.23,3739abb7-6cc6-4b54-9c2f-774a4a1ef380,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
37,65b48fa5-758e-49e9-bc5e-8b0dd1aa44a3,2,Left_Bank,10,0.24,0.3,0.28,3739abb7-6cc6-4b54-9c2f-774a4a1ef380,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
38,1f5a8d1e-2c26-43c1-a483-8d9003bfb396,3,Right_Bank,3,0.35,0.21,0.32,3739abb7-6cc6-4b54-9c2f-774a4a1ef380,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
39,543b3c1b-39f8-449f-af94-3a77dd1771e3,1,Left_Bank,4,0.44,0.23,0.38,095061b0-84e7-4099-9eb1-7266ead17a86,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
40,81c8c847-caea-4e83-acb1-116eea12f9db,2,Right_Bank,11,0.32,0.38,0.28,095061b0-84e7-4099-9eb1-7266ead17a86,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
41,f06d561e-54f1-4394-815b-6b0c27ff0fb9,1,Left_Bank,9,0.43,0.45,0.24,8a5e2ad2-8b89-4954-bbad-db6cd82f6002,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
42,5311cacd-b2a4-4afd-b1c8-43c3b38a2151,2,Right_Bank,6,0.48,0.39,0.24,8a5e2ad2-8b89-4954-bbad-db6cd82f6002,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
43,fa3eaa43-7e59-4030-be32-9bc35e00a027,3,Left_Bank,5,0.6,0.4,0.35,8a5e2ad2-8b89-4954-bbad-db6cd82f6002,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
44,9f19ce64-00e4-4b07-8305-c75cec05f29b,1,Right_Bank,4.4,0.3,0.25,0.4,43456455-a42d-4360-90bd-51debfda2902,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
45,ff01a70e-032f-4475-a295-e536c4faa279,2,Right_Bank,2.3,0.3,0.25,0.32,43456455-a42d-4360-90bd-51debfda2902,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
46,5026b6f8-011a-4cd5-81ce-0b05946416e9,1,Right_Bank,3,0.24,0.32,0.27,6f5ae662-1a93-4fd3-a920-17a7aba4535e,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
47,9bac1948-cabb-4228-abe3-ce1a12f12b7d,2,Left_Bank,4.8,0.4,0.3,0.32,6f5ae662-1a93-4fd3-a920-17a7aba4535e,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
48,ac368d6e-00cd-4d0d-ac09-1e3a50fed1fd,1,Island,12,0.5,0.4,0.5,806bd0ab-5543-49d1-b119-f72bea961876,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
