ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,ec36c53b-5f49-4e2c-89b6-6f5e438d2e3f,1,9,0.34,Yes,Yes,No,8c3f58d7-64ff-4fe8-94c3-cd01a5b81f4d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
2,7927437a-3753-48a2-88ad-6f8fae64f7b9,2,6,0.5,Yes,Yes,Yes,8c3f58d7-64ff-4fe8-94c3-cd01a5b81f4d,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
3,9c8efd1b-786a-4ca6-997e-0699db0a9681,1,18,0.4,Yes,Yes,No,b9a717b5-131f-4d67-a9d7-4619fa806b6c,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
4,de163dcf-250d-49be-8c49-c8fd2879c233,1,7,0.2,No,No,No,ed5aa6fa-dcce-42ed-9acc-8a197a75d519,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
5,596b463b-9c75-4cad-83ae-d54a226d9270,1,4,0.23,Yes,No,No,3982d363-1b24-4153-9d91-2b68747a0c61,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
6,34845494-b0c5-4c12-a5c5-ee51137d86a4,1,8,0.2,Yes,Yes,No,767e2cfb-8850-4d6c-be74-397b5bfcc994,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
7,5efd548e-81f0-44d7-8075-063df2af69b7,1,4,0.15,Yes,No,No,4e64f3b8-81ab-4a93-9c80-0fb72bb30297,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
8,2fe7a142-bc3f-4a10-ab5a-095dd637f4ee,1,6.5,0.36,Yes,No,No,377ad25f-7643-4b99-8efa-6467a6727b50,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
9,a1356870-0b22-4a3c-9bf5-e528441d3c7b,2,5,0.2,Yes,No,No,377ad25f-7643-4b99-8efa-6467a6727b50,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
10,fc37bc69-2a1c-4121-8122-a1ae27b1574a,3,4,0.4,Yes,No,Yes,377ad25f-7643-4b99-8efa-6467a6727b50,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
