ObjectID,GlobalID,Station Width,Station Depth,Station Velocity,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,7e26183b-a322-4674-b978-14118bf10f1c,0,0.02,0,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
2,03c6cc74-8155-4a1a-8704-a46c76993417,0.35,0.06,0.007,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
3,2d100d99-72a2-4435-b0c1-4fd777c1cb19,0.7,0.08,0.085,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
4,173e1a9d-a9a2-47ef-876e-0468cb555013,1.05,0.22,0.207,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
5,71b990c6-27a9-4283-90da-fac99c5d68ae,1.4,0.28,0.49,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
6,b1de55cb-ae75-45f6-8ad2-30ecf39535f4,1.75,0.21,0.653,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
7,6476883e-7682-4fc8-8ecf-d26357d4f019,2.1,0.21,0.611,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
8,5d7c48cf-8da4-4113-80e6-f53492ab0ad0,2.45,0.34,0.455,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
9,df8331e0-3d4d-4931-b9cd-2ce11311fb19,2.85,0.3,0.536,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
10,304a0779-27f6-4982-b531-32496fcf5d86,3.2,0.32,0.137,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
11,1f4eb5c0-ebec-405d-9e9e-4fbd42898f97,3.55,0.3,0.628,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
12,c890b5b2-8260-4d1c-af1c-efeef65e5f3b,3.9,0.28,0.484,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
13,7b5b0937-a540-4d11-81a5-937d03fa8df6,4.25,0.23,0.168,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
14,bb934c64-e2f6-4433-82be-166daae791ac,4.6,0.17,0.615,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
15,f72e85d2-8d22-409d-999a-bb7aa28c5cb2,4.95,0.16,0.2,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
16,46955487-01cb-482f-96b7-4719c538bc42,5.3,0.18,0.318,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
17,b593c4dc-75fb-456d-915e-5e6a09494ccc,5.65,0.22,0.267,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
18,d9f2a948-397d-476b-bf07-3f5738d4fd09,6,0.18,0.074,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
19,8fca5a5e-213c-4d56-9934-8f31d7bff6cf,6.35,0.05,-0.015,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
20,6b47277d-dd6f-4b2e-879a-e6e6c51adeee,2.8,0.02,0,191f4922-1a8b-4848-9dae-bc8967cfa6ab,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
21,36b6532e-04fa-4db2-af33-0a255330e0e2,0,0.18,0.042,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
22,15e49244-35b8-4195-9fbf-478d2aae1289,0.25,0.22,0.506,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
23,d5f56065-a96e-4dfa-8237-820577490cbe,0.5,0.21,1.093,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
24,5da7ea51-17e1-4798-89cc-72741cca8a92,0.75,0.2,1.079,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
25,12080cb6-2f40-40e4-bfe8-2074f6612639,1,0.19,0.677,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
26,da8cf1db-86d2-4c79-8bc2-3a59006b919e,1.25,0.24,0.594,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
27,353c5250-9762-4ab8-97a1-81338d066d17,1.5,0.2,0.618,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
28,1afcbc63-bcfa-439e-af5a-55b1ad3bd4af,1.75,0.08,0.521,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
29,88039caf-3625-4383-aed9-7eb2bcec1bc5,2,0.16,0.572,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
30,0ff3927b-8bd9-4b36-9a56-71bc9493a28f,2.25,0.14,0.859,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
31,a13c3704-286a-467a-aebd-3e54b6bf93b5,2.5,0.18,0.952,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
32,829e4e49-54de-4312-8d4f-c29bafabeecc,2.75,0.24,0.974,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
33,4ec75938-d327-4c00-806c-f84d4581cfe2,3,0.3,0.589,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
34,ede4df1c-f526-4a16-b23e-bfc98ba7fc6e,3.25,0.26,0.354,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
35,efa0b512-f36a-4886-974f-043b3e5b592b,3.5,0.24,0.122,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
36,b107d481-f306-4c28-af7c-52dfae906e85,3.75,0.17,0.472,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
37,b8f0fa61-0a7e-40bf-a2e4-2518789520b0,4,0.2,0.394,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
38,2bf9dc7a-dcd2-47e3-ac44-7a0971aff1e4,4.25,0.22,0.147,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
39,5f6a4aa5-3624-4e28-8be6-3e5f0eb24731,4.5,0.16,0.481,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
40,9542410a-7611-4a4a-8035-b2127dd726b1,4.75,0.16,0.363,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
41,07e5512a-5fca-4cca-99fd-6cecea9d381c,5,0,0,3eafe465-aca7-43ec-b0ff-4fccb8ac886b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
