ObjectID,GlobalID,Large Wood Number,Length (m),Diameter (m),Wet?,Channel Forming?,Ballasted?,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,3193a9e0-57cf-4873-aec6-acfb20c58391,1,14,.4,Yes,Yes,Yes,b4ded097-c31b-4abd-9bfc-a855f35942aa,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
2,fc5b851b-bb34-4d84-b7e7-e44b90adbce2,1,4.5,.15,Yes,No,No,872e93d8-bea2-4f6f-9c6d-996dd7310b5f,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
3,cedc6d36-28f3-452b-a7d7-c44556322217,1,4.25,.5,No,No,No,94cc847d-1348-4288-8ca9-b7cdbd0c9bc0,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
4,301ce165-3f7a-4d93-8fe7-5c6201ddd424,1,6,.2,No,No,Yes,a0869075-4592-4e3f-a326-d855560fb257,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
5,2518c336-7dfc-4831-b17f-02a67b390778,2,1.5,.2,Yes,No,Yes,a0869075-4592-4e3f-a326-d855560fb257,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
6,c1326b62-18fa-4b47-a3d0-bd7d698f2eb1,1,1.5,.57,Yes,No,Yes,c7f7eb99-717e-40fe-90d5-002977f4eec8,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
7,2c266fdb-da3d-4c22-af2d-da19c7a9850a,1,8,.3,Yes,Yes,Yes,5793d85e-3a70-452b-ab12-59f00fb7120d,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
8,6c66a222-c420-476b-8017-b971a1994756,1,9,.15,No,Yes,No,b64d1d9f-681c-4b8d-bfc6-b32a0f71fee7,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
9,72b44fb5-f1f9-4c08-8a7c-65661d5accbd,1,13,.27,No,No,Yes,2e6f4549-aa86-45c8-a839-c2c6723d3e22,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
10,b54b0735-52b8-4253-81b4-17a162907a58,1,10,.32,Yes,Yes,Yes,01645c07-fb3d-4d28-87b6-969f592217c9,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
11,cd453619-bdb4-47e6-871a-6ad76ee8cfd2,1,12,.27,Yes,Yes,Yes,4b92137d-afc1-4e0c-91a1-948fe7eeb023,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
12,e54dc75a-35e9-4330-9a06-0f31ff91d11f,1,2.75,.15,Yes,Yes,Yes,c3b2f5a6-ceb1-411a-818d-6ff171781c67,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
13,8d43b047-13ba-4bf7-b79c-e1598cad3d85,1,5,.42,Yes,Yes,No,d6b53d01-a1b5-4c38-977b-96b0963f1062,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
14,e1f079f0-2126-42c1-b026-d2634a80958a,1,4.25,.37,No,No,Yes,e052f87d-35f4-43c7-bbb2-76766160aae2,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
15,1113d22b-085d-4d73-b265-3084f1f1da42,1,5,.32,Yes,No,No,d253ea7b-d1cc-4cf2-bb60-b301d3d16893,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
16,09862f8d-7f32-4770-9857-44821f00f8ff,2,6.5,.4,No,No,Yes,d253ea7b-d1cc-4cf2-bb60-b301d3d16893,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
17,9e0cd829-a72e-4003-8f9a-ea1ddc979fb9,1,1.5,.35,Yes,No,Yes,e66eb259-b722-469f-89da-878d07c36d47,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
18,278a5818-b948-4f70-96f2-380ac145a00d,2,3.25,.2,No,No,Yes,e66eb259-b722-469f-89da-878d07c36d47,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
19,9c704464-0888-40c5-b02f-ac8b85338aff,3,3.5,.25,No,No,Yes,e66eb259-b722-469f-89da-878d07c36d47,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
20,7630131c-91af-488b-ba66-be8cd3cb6e69,1,20,.42,Yes,Yes,Yes,30650033-0786-414c-80ea-f00bdd1e9ba0,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
21,0f646206-6660-4628-9876-622237de8d36,2,10.5,.22,Yes,No,Yes,30650033-0786-414c-80ea-f00bdd1e9ba0,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
22,530caf13-14de-4623-adac-050b7f58b578,1,3.25,.15,Yes,Yes,Yes,deb1681a-ef05-4ab8-bcf1-074aec569b10,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
23,852a0c5d-69c2-426f-9d6c-1aa67fbc3507,1,3.75,.15,No,No,Yes,a45bc8ed-1109-48a4-8bd3-24ed8e38e596,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
24,f9da6b6e-ede7-4432-b02e-3b1c92650bb1,1,12,.5,Yes,No,Yes,4eb3504c-4d27-4aca-b36b-c167b162013f,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
25,f7f60e87-1abd-46ed-ab4d-82ff7b764228,1,12,.35,Yes,Yes,,db377a58-8bd8-4264-82b4-41cb561da230,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
26,2dc320ea-9d7a-48dc-94f8-822b360121dd,1,7.5,.27,No,No,Yes,2158cf88-7ef6-4068-a041-b7543c07768e,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
27,b9b04f84-dbee-4156-937b-d61454f73798,2,18,.45,Yes,Yes,Yes,2158cf88-7ef6-4068-a041-b7543c07768e,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
28,bf8cd0b9-b938-4ea0-855f-ca4c7bcc6729,1,12,.35,No,No,Yes,3cbed1e3-c3e6-4922-8281-a1d172eabf2b,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
29,57d95aa5-c372-431a-8136-7a5c80e6114e,1,7,.17,No,No,No,dc337f12-d6e2-4ee6-b436-6d0ebf3d7092,9/19/2019 2:41:48 PM,richie@qcinc.org,9/19/2019 2:41:48 PM,richie@qcinc.org
