ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,c3b2f5a6-ceb1-411a-818d-6ff171781c67,Pool,1,1,0.36,,10,,,,80,20,30,40,10,,,,,,,,,,,,0.93,,,,,,8379fef7-eb15-4821-8b92-313e8e105df2,9/19/2019 14:41,richie@qcinc.org,9/19/2019 14:41,richie@qcinc.org
2,d6b53d01-a1b5-4c38-977b-96b0963f1062,Rapid+,2,1,0.37,LWD extends into u1,10,,10,,80,10,30,40,20,,,,,,,,,,,,0.42,,,,,,8379fef7-eb15-4821-8b92-313e8e105df2,9/19/2019 14:41,richie@qcinc.org,9/19/2019 14:41,richie@qcinc.org
3,d51dbc98-4bd0-41a1-a710-1090aa5e7e57,Riffle,3,1,0.25,,10,,,,90,,,,,54.5,38.5,77,218,218,309,,109,218,309,0.06,0.39,,,,,,8379fef7-eb15-4821-8b92-313e8e105df2,9/19/2019 14:41,richie@qcinc.org,9/19/2019 14:41,richie@qcinc.org
4,9a0b630f-20f2-4b28-ba42-a74121ba1847,Pool,4,1,0.4,,10,,,,90,20,30,30,20,,,,,,,,,,,,0.62,,,,,,8379fef7-eb15-4821-8b92-313e8e105df2,9/19/2019 14:41,richie@qcinc.org,9/19/2019 14:41,richie@qcinc.org
5,7a60cbc3-2153-4cb8-b512-e2f6ecac3011,Rapid+,5,1,0.46,,10,,,,90,10,30,30,30,,,,,,,,,,,,0.46,,,,,,8379fef7-eb15-4821-8b92-313e8e105df2,9/19/2019 14:41,richie@qcinc.org,9/19/2019 14:41,richie@qcinc.org
6,9dd32be5-bdbf-4191-9df1-90975556874b,Pool,6,1,0.28,,10,,,,90,10,30,40,20,,,,,,,,,,,,0.6,,,,,,8379fef7-eb15-4821-8b92-313e8e105df2,9/19/2019 14:41,richie@qcinc.org,9/19/2019 14:41,richie@qcinc.org
7,4c3a6a45-2752-4f4e-9819-49916f3acccd,Riffle,7,1,0.48,,,,,,100,,,,,77,109,13.65,218,109,77,309,27.3,309,54.5,0.06,0.48,,,,,,8379fef7-eb15-4821-8b92-313e8e105df2,9/19/2019 14:41,richie@qcinc.org,9/19/2019 14:41,richie@qcinc.org
8,e052f87d-35f4-43c7-bbb2-76766160aae2,Pool,8,1,0.42,,,,,,100,10,30,30,30,,,,,,,,,,,,0.67,,,,,,8379fef7-eb15-4821-8b92-313e8e105df2,9/19/2019 14:41,richie@qcinc.org,9/19/2019 14:41,richie@qcinc.org
9,d253ea7b-d1cc-4cf2-bb60-b301d3d16893,Riffle,9,1,0.38,,10,,,,90,,,,,154,154,6.85,27.3,19.3,218,,437,218,154,3,0.44,,,,,,8379fef7-eb15-4821-8b92-313e8e105df2,9/19/2019 14:41,richie@qcinc.org,9/19/2019 14:41,richie@qcinc.org
10,c1cb5732-b89b-4303-859f-068662faf25f,Pool,10,1,0.4,"Wood jam extends into u9, u11 and u12.",10,,10,,80,10,30,30,30,,,,,,,,,,,,0.63,,,,,,8379fef7-eb15-4821-8b92-313e8e105df2,9/19/2019 14:41,richie@qcinc.org,9/19/2019 14:41,richie@qcinc.org
