,ShortName,Name,MetricEngineName,MetricGroupName,DescriptiveText,UnitOfMeasure,UnitOfMeasureAbbrv,MetricCategory,FieldName,DASH_poss,DASH_gen,Easy,
1,SubEstGrvl,Substrate Est: Coarse and Fine Gravel,Aux and RBT,Tier 1 Summary,Percent of coarse and fine gravel (2-64 mm) within the wetted site area.,Percent,%,Substrate,NA,T,T,1,
2,FishCovLW,Fish Cover: LW,Aux and RBT,Tier 1 Summary,Percent of wetted area that has woody debris as fish cover.,Percent,%,Cover,NA,T,F,,
3,SubEstSandFines,Substrate Est: Sand and Fines,Aux and RBT,Tier 1 Summary,Percent of sand and fine sediment (0.01-2 mm) within the wetted site area.,Percent,%,Substrate,NA,T,T,1,
4,FishCovTVeg,Fish Cover: Terrestrial Vegetation,Aux and RBT,Tier 1 Summary,Percent of wetted area that has live terrestrial vegetation as fish cover.,Percent,%,Cover,NA,T,F,,
5,FishCovUcut,Fish Cover: Undercut,Aux and RBT,Tier 1 Summary,Retired metric. Percent of wetted area that has Undercut as fish cover.,Percent,%,NA,NA,T,F,,
6,FishCovArt,Fish Cover: Artificial,Aux and RBT,Tier 1 Summary,Percent of wetted area that has artificial structure as fish cover.,Percent,%,Cover,NA,T,F,,
7,FishCovNone,Fish Cover: None,Aux and RBT,Tier 1 Summary,Percent of channel unit with no fish cover.,Percent,%,Cover,NA,T,T,1,
8,FishCovAqVeg,Fish Cover: Aquatic Vegetation,Aux and RBT,Tier 1 Summary,Percent of wetted area that has aquatic vegetation as fish cover.,Percent,%,Cover,NA,T,F,,
9,SubEstBldr,Substrate Est: Boulders,Aux and RBT,Tier 1 Summary,Percent of boulders (256-4000 mm) within the wetted site area.,Percent,%,Substrate,NA,T,T,1,
10,SubEstCbl,Substrate Est: Cobbles,Aux and RBT,Tier 1 Summary,Percent of cobbles (64-256 mm) within the wetted site area.,Percent,%,Substrate,NA,T,T,1,
11,FishCovTotal,Fish Cover: Total,Aux and RBT,Tier 1 Summary,"Percent of wetted area with the following types of cover: aquatic vegetation, artificial, woody debris, and terrestrial vegetation.",Percent,%,Cover,NA,T,F,,
12,SubEstGrvl,Substrate Est: Coarse and Fine Gravel,Aux and RBT,Visit Metric,Percent of coarse and fine gravel (2-64 mm) within the wetted site area.,Percent,%,Substrate,NA,T,T,1,
13,FishCovLW,Fish Cover: LW,Aux and RBT,Visit Metric,Percent of wetted area that has woody debris as fish cover.,Percent,%,Cover,NA,T,T,1,
14,SubEstSandFines,Substrate Est: Sand and Fines,Aux and RBT,Visit Metric,Percent of sand and fine sediment (0.01-2 mm) within the wetted site area.,Percent,%,Substrate,NA,T,T,1,
15,LWFreq_Wet,Large Wood Frequency: Wetted,Aux and RBT,Visit Metric,Number of  large wood pieces per 100 meters within the wetted channel.,count per 100 meter,count/100m,Wood,NA,T,T,1,
16,FishCovTVeg,Fish Cover: Terrestrial Vegetation,Aux and RBT,Visit Metric,Percent of wetted area that has live terrestrial vegetation as fish cover.,Percent,%,Cover,NA,T,T,1,
17,FishCovArt,Fish Cover: Artificial,Aux and RBT,Visit Metric,Percent of wetted area that has artificial structure as fish cover.,Percent,%,Cover,NA,T,T,1,
18,FishCovNone,Fish Cover: None,Aux and RBT,Visit Metric,Percent of channel unit with no fish cover.,Percent,%,Cover,NA,T,T,1,
19,LWFreq_Bf,Large Wood Frequency: Bankfull,Aux and RBT,Visit Metric,Number of  large wood pieces per 100 meters within the bankfull channel.,count per 100 meter,count/100m,Wood,NA,F,,,
20,FishCovAqVeg,Fish Cover: Aquatic Vegetation,Aux and RBT,Visit Metric,Percent of wetted area that has aquatic vegetation as fish cover.,Percent,%,Cover,NA,T,T,1,
21,SubEstBldr,Substrate Est: Boulders,Aux and RBT,Visit Metric,Percent of boulders (256-4000 mm) within the wetted site area.,Percent,%,Substrate,NA,T,T,1,
